type,city,latitude,longitude
Embassy,Abu Dhabi,24.421946,54.439549
Embassy,Addis Ababa,8.9864612,38.7237601
Embassy,Athens,38.008245,23.77721
Embassy,Baku,40.3674106,49.830642
Embassy,Bangkok,13.7369955,100.5763329
Embassy,Beijing,39.946174,116.4565208
Embassy,Bern,46.940536,7.4604254
Embassy,Berlin,52.4609869,13.3002019
Embassy,Brasília,-15.8226228,-47.8932027
Embassy,Bucharest,44.4499734,26.0901845
Embassy,Budapest,47.5093611,19.0942315
Embassy,Brussels,50.8125819,4.3782025
Embassy,Canberra,-35.3541828,149.1054513
Embassy,Copenhagen,55.7214575,12.5753899
Embassy,Doha,25.3309136,51.5314016
Embassy,Dublin,53.2996041,-6.1910668
Consulate,Frankfurt,50.140406,8.6611474
Consulate,Hamburg,53.5979809,9.9936907
Embassy,The Hague,52.1015638,4.2879243
Embassy,Hanoi,21.0317426,105.836635
Embassy,Helsinki,60.1840399,25.0048897
Consulate,Hong Kong,22.2800396,114.1790676
Embassy,Jakarta,-6.2005543,106.8277782
Embassy,Kuala Lumpur,3.1552033,101.7315383
Embassy,Kiev,50.4436371,30.525256
Embassy,Lisbon,38.7011226,-9.2228757
Embassy,London,51.5016418,-0.1723786
Embassy,Manila,14.546897,121.0259304
Embassy,Moscow,55.7553739,37.6487849
Embassy,New Delhi,28.6271163,77.2280529
Embassy,Oslo,59.9159384,10.700251
Embassy,Ottawa,45.4166639,-75.6918015
Embassy,Paris,48.8632873,2.2928364
Embassy,Pretoria,-25.7727021,28.2261792
Embassy,Sanaa,15.3152335,44.1991574
Embassy,Stockholm,59.3703264,18.1918688
Embassy,Tokyo,35.6480461,139.7312532
Embassy,Vienna,48.1970305,16.3841199
Embassy,Warsaw,52.2343708,21.0559075
Embassy,Wellington,-41.2982084,174.8020886
Embassy,Yeravan,40.2049677,44.5178198
Interest Section of Iran/Foreign Consulate,Washington D.C,38.9063617,-77.0503197
Permanent Mission of Iran to the U.N.,Geneva,46.2227052,6.1328319
Permanent Mission of Iran to the U.N.,New York City,40.7497244,-73.9756298