حوزه,طبقه‌بندی,وضعیت پروژه,نام پروژه,توضیحات
نفت، گاز، پتروشیمی,توسعه میادین,در دست اجرا,احداث ایستگاه جدید تزریق گاز گچساران,-
نفت، گاز، پتروشیمی,توسعه میادین,خاتمه‌یافته,طراحی نهایی عملیات برداشت داده های لرزه نگاری سه بعدی میدان نفتی بند کرخه,-
نفت، گاز، پتروشیمی,توسعه میادین,خاتمه‌یافته,اجرای عملیات لرزه نگاری در منطقه میدان نفتی آزادگان شمالی,-
نفت، گاز، پتروشیمی,توسعه میادین,خاتمه‌یافته,انجام عملیات لرزه نگاری سه بعدی تیماب - چنگوله,-
نفت، گاز، پتروشیمی,صنایع پالایشگاهی,در دست اجرا,عملیات ساختمانی و سیویل طرح شیرین سازی گاز پروژه ایران LNG,-
نفت، گاز، پتروشیمی,صنایع پالایشگاهی,در دست اجرا,اجرای  utility & offsite  پروژه LNG,-
نفت، گاز، پتروشیمی,صنایع پالایشگاهی,در دست اجرا,احداث کارخانه گاز و گاز مایع ۳۲۰۰ NGLغرب رودخانه کارون,-
نفت، گاز، پتروشیمی,صنایع پالایشگاهی,در دست اجرا,اجرای DMC فازهای ۲و۳و۴و۵و۹و۱۰ پارس جنوبی,-
نفت، گاز، پتروشیمی,صنایع پالایشگاهی,در دست اجرا,اجرای عملیات ساختمانی و سیویل طرح شیرین سازی گاز پروژه ایران LNG,-
نفت، گاز، پتروشیمی,صنایع پالایشگاهی,خاتمه‌یافته,پروژه  پالایشگاهی فاز های ۱۵ و ۱۶ پارس جنوبی (عسلویه),-
نفت، گاز، پتروشیمی,صنایع پالایشگاهی,خاتمه‌یافته,تلمبه خانه شهید چمران اهواز,-
نفت، گاز، پتروشیمی,صنایع پالایشگاهی,خاتمه‌یافته,تلمبه خانه های جدید نفت خام ری – تبریز,-
نفت، گاز، پتروشیمی,‏مخازن ذخیره نفت و گاز‏,در دست اجرا,انجام خدمات مهندسی مخازن زیرزمینی نفت خام به ظرفیت ۱۰ میلیون بشکه بصورت بدون پوشش,-
نفت، گاز، پتروشیمی,‏مخازن ذخیره نفت و گاز‏,در دست اجرا,عملیات ساخت و نصب تجهیزات مکانیکی و عملیات پیش طراحی و تامین کالا و اجرای دو مخزن LPG به حجم ۳۰۰۰۰ متر مکعب و سه مخزن LNG به حجم ۱۴۰۰۰ متر مکعب,-
نفت، گاز، پتروشیمی,‏مخازن ذخیره نفت و گاز‏,خاتمه‌یافته,احداث  انبار  نفت  ماهشهر به روش EPC,-
نفت، گاز، پتروشیمی,‏مخازن ذخیره نفت و گاز‏,خاتمه‌یافته,طراحی ، ساخت و نصب مخازن ذخیره فرآورده های نفتی در شهر های تبریز ، همدان، اهواز ، یاسوج,-
نفت، گاز، پتروشیمی,‏مخازن ذخیره نفت و گاز‏,خاتمه‌یافته,احداث مخازن سوخت ۳۲۰۰۰ متر مکعبی در نیروگاه شهید سلیمی نکا,-
نفت، گاز، پتروشیمی,‏مخازن ذخیره نفت و گاز‏,خاتمه‌یافته,طراحی ، ساخت و نصب مخازن LNG  و LPG در بندر تمبک,-
نفت، گاز، پتروشیمی,‏مخازن ذخیره نفت و گاز‏,خاتمه‌یافته,طراحی ، ساخت ونصب ۲۳ دستگاه مخازن ذخیره فرآورده های نفتی به ظرفیت ۴۲۴۰۰۰ متر مکعب در ۱۱ شهر کشور,-
نفت، گاز، پتروشیمی,‏مخازن ذخیره نفت و گاز‏,خاتمه‌یافته,طراحی ، ساخت و نصب ۶ دستگاه مخزن ۰۰۰/۱۰۰ بشکه ای پالایشگاه اصفهان,-
نفت، گاز، پتروشیمی,‏مخازن ذخیره نفت و گاز‏,خاتمه‌یافته,ساخت چهار دستگاه مخزن ۶۰۰۰۰ متر مکعبی میعانات گازی طرح توسعه میدان گازی پارس جنوبی- فاز ۹و۱۰,-
نفت، گاز، پتروشیمی,‏مخازن ذخیره نفت و گاز‏,خاتمه‌یافته,طراحی، ساخت و نصب مخازن یک میلیون بشکه ای در جزیره خارک,-
نفت، گاز، پتروشیمی,‏مخازن ذخیره نفت و گاز‏,خاتمه‌یافته,ساخت یک دستگاه مخازن ۶۰۰۰۰ متر مکعبی میعانات گازی در فازهای ۴و۵ پارس جنوبی,-
نفت، گاز، پتروشیمی,‏مخازن ذخیره نفت و گاز‏,خاتمه‌یافته,طراحی و ساخت ۶ دستگاه مخزن در انبار نفت قزوین و اصفهان,-
نفت، گاز، پتروشیمی,‏خطوط انتقال نفت و گاز‏,در دست اجرا,احداث خطوط لوله زمینی در سرزمین اصلی کیش,-
نفت، گاز، پتروشیمی,‏خطوط انتقال نفت و گاز‏,در دست اجرا,خط لوله ششم گاز سراسری (اهواز - دهگلان),-
نفت، گاز، پتروشیمی,‏خطوط انتقال نفت و گاز‏,در دست اجرا,خط انتقال فرآورده های نفتی آبادان - اراک – ری,-
نفت، گاز، پتروشیمی,‏خطوط انتقال نفت و گاز‏,خاتمه‌یافته,ادامه خط هفتم سراسری گاز,-
نفت، گاز، پتروشیمی,‏خطوط انتقال نفت و گاز‏,خاتمه‌یافته,خط لوله هفتم سراسری گاز ۵۶ اینچ (عسلویه - سیستان وبلوچستان),-
نفت، گاز، پتروشیمی,‏خطوط انتقال نفت و گاز‏,خاتمه‌یافته,احداث خط انتقال گاز ۵۶ اینچ دهم سراسری ( پتاوه - پل کله),-
نفت، گاز، پتروشیمی,‏خطوط انتقال نفت و گاز‏,خاتمه‌یافته,احداث خط انتقال گاز ۳۶ اینچ دوم خرم آباد و ایستگاه تقلیل فشار شماره ۲ خرم آباد(خرم آباد - ملایر),-
نفت، گاز، پتروشیمی,‏خطوط انتقال نفت و گاز‏,خاتمه‌یافته,احداث  خط انتقال ۴۸ اینچ  همدان- بیجار به روش PC,-
عمران و صنعت,راه و شهرسازی,آزادراه و بزرگراه,آزادراه حرم تا حرم,احداث بین از ۵۰ درصد آزادراه‌های در دست اجرای کشور توسط قرارگاه خاتم‌الانبیا؛ ۱۳۸۳ کیلومتر در دست اجرا و ۱۲۴۲ کیولمتر احداث شده
عمران و صنعت,راه و شهرسازی,آزادراه و بزرگراه,بزرگراه سرخه‌حصار,احداث بین از ۵۰ درصد آزادراه‌های در دست اجرای کشور توسط قرارگاه خاتم‌الانبیا؛ ۱۳۸۳ کیلومتر در دست اجرا و ۱۲۴۲ کیولمتر احداث شده
عمران و صنعت,راه و شهرسازی,آزادراه و بزرگراه,بزرگراه ساوه - همدان,احداث بین از ۵۰ درصد آزادراه‌های در دست اجرای کشور توسط قرارگاه خاتم‌الانبیا؛ ۱۳۸۳ کیلومتر در دست اجرا و ۱۲۴۲ کیولمتر احداث شده
عمران و صنعت,راه و شهرسازی,آزادراه و بزرگراه,بزرگراه پارسایان,احداث بین از ۵۰ درصد آزادراه‌های در دست اجرای کشور توسط قرارگاه خاتم‌الانبیا؛ ۱۳۸۳ کیلومتر در دست اجرا و ۱۲۴۲ کیولمتر احداث شده
عمران و صنعت,راه و شهرسازی,آزادراه و بزرگراه,راه اصلی ایلام,احداث بین از ۵۰ درصد آزادراه‌های در دست اجرای کشور توسط قرارگاه خاتم‌الانبیا؛ ۱۳۸۳ کیلومتر در دست اجرا و ۱۲۴۲ کیولمتر احداث شده
عمران و صنعت,راه و شهرسازی,آزادراه و بزرگراه,روسازی خط دوم اهواز - سربندر,احداث بین از ۵۰ درصد آزادراه‌های در دست اجرای کشور توسط قرارگاه خاتم‌الانبیا؛ ۱۳۸۳ کیلومتر در دست اجرا و ۱۲۴۲ کیولمتر احداث شده
عمران و صنعت,راه و شهرسازی,آزادراه و بزرگراه,آزادره اراک - خرم‌آباد,احداث بین از ۵۰ درصد آزادراه‌های در دست اجرای کشور توسط قرارگاه خاتم‌الانبیا؛ ۱۳۸۳ کیلومتر در دست اجرا و ۱۲۴۲ کیولمتر احداث شده
عمران و صنعت,راه و شهرسازی,آزادراه و بزرگراه,بزرگراه کوهسار مهدی شیراز,احداث بین از ۵۰ درصد آزادراه‌های در دست اجرای کشور توسط قرارگاه خاتم‌الانبیا؛ ۱۳۸۳ کیلومتر در دست اجرا و ۱۲۴۲ کیولمتر احداث شده
عمران و صنعت,راه و شهرسازی,آزادراه و بزرگراه,قطعه سوم راه اصلی پاتاوه - دهدشت,احداث بین از ۵۰ درصد آزادراه‌های در دست اجرای کشور توسط قرارگاه خاتم‌الانبیا؛ ۱۳۸۳ کیلومتر در دست اجرا و ۱۲۴۲ کیولمتر احداث شده
عمران و صنعت,راه و شهرسازی,راه‌آهن درون‌شهری و حومه,خط ۷ متروی تهران به طول ۲۷ کیلومتر و ۲۴ ایستگاه,قطار شهری به طول ۲۷۶ کیلومتر و ۱۴۲ ایستگاه
عمران و صنعت,راه و شهرسازی,راه‌آهن درون‌شهری و حومه,خط ۲ مترو مشهد به طول ۱۵ کیلومتر و ۱۳ ایستگاه,قطار شهری به طول ۲۷۶ کیلومتر و ۱۴۲ ایستگاه
عمران و صنعت,راه و شهرسازی,راه‌آهن درون‌شهری و حومه,خط ۳ مترو مشهد به طول ۲۸ کیلومتر و ۱۲ ایستگاه,قطار شهری به طول ۲۷۶ کیلومتر و ۱۴۲ ایستگاه
عمران و صنعت,راه و شهرسازی,راه‌آهن درون‌شهری و حومه,خط ۲ مترو تبریز به طول ۲۲/۴ کیلومتر و ۱۲ ایستگاه,قطار شهری به طول ۲۷۶ کیلومتر و ۱۴۲ ایستگاه
عمران و صنعت,راه و شهرسازی,راه‌آهن درون‌شهری و حومه,خط ۲ مترو شیراز به طول ۱۷/۸ کیلومتر و ۹ ایستگاه,قطار شهری به طول ۲۷۶ کیلومتر و ۱۴۲ ایستگاه
عمران و صنعت,راه و شهرسازی,راه‌آهن درون‌شهری و حومه,خط یک مترو قم به طول ۱۴ کیلومتر و ۱۴ ایستگاه,قطار شهری به طول ۲۷۶ کیلومتر و ۱۴۲ ایستگاه
عمران و صنعت,راه و شهرسازی,راه‌آهن درون‌شهری و حومه,توسعه بخش جنوبی خط یک مترو تهران به طول ۵۲ کیلومتر و ۵ ایستگاه,قطار شهری به طول ۲۷۶ کیلومتر و ۱۴۲ ایستگاه
عمران و صنعت,راه و شهرسازی,راه‌آهن درون‌شهری و حومه,شهر جدید هشتگرد به طول ۲۵ کیلومتر و ۲ ایستگاه,قطار شهری به طول ۲۷۶ کیلومتر و ۱۴۲ ایستگاه
عمران و صنعت,راه و شهرسازی,راه‌آهن درون‌شهری و حومه,خط یک مترو کرمانشاه به طول ۴/۳ کیلومتر و ۶ ایستگاه,قطار شهری به طول ۲۷۶ کیلومتر و ۱۴۲ ایستگاه
عمران و صنعت,راه و شهرسازی,راه‌آهن برون شهری,راه‌آهن گرگان - اینچه برون,۲۸۷۵ کیلومتر در دست اجرا و ۱۳۰۰ کیلومتر راه‌آهن احداث شده
عمران و صنعت,راه و شهرسازی,راه‌آهن برون شهری,راه‌آهن بم - زاهدان,۲۸۷۵ کیلومتر در دست اجرا و ۱۳۰۰ کیلومتر راه‌آهن احداث شده
عمران و صنعت,راه و شهرسازی,راه‌آهن برون شهری,زیرسازی راه‌آهن کرمان - زاهدان,۲۸۷۵ کیلومتر در دست اجرا و ۱۳۰۰ کیلومتر راه‌آهن احداث شده
عمران و صنعت,راه و شهرسازی,راه‌آهن برون شهری,راه‌آهن درورد - خرم‌آباد (زیرسازی و ایستگاه‌ها),۲۸۷۵ کیلومتر در دست اجرا و ۱۳۰۰ کیلومتر راه‌آهن احداث شده
عمران و صنعت,راه و شهرسازی,راه‌آهن برون شهری,راه‌آهن کرمانشاه,۲۸۷۵ کیلومتر در دست اجرا و ۱۳۰۰ کیلومتر راه‌آهن احداث شده
عمران و صنعت,راه و شهرسازی,راه‌آهن برون شهری,بهسازی راه‌آهن تهران - تبریز,۲۸۷۵ کیلومتر در دست اجرا و ۱۳۰۰ کیلومتر راه‌آهن احداث شده
عمران و صنعت,آب و نیرو,آب و نیرو,سد عظیم کرخه و سازه‌های وابسته,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,آب و نیرو,سد و نیروگاه برقابی گتوند علیا,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,آب و نیرو,سد کوچری,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,آب و نیرو,سد آغ‌چای,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,آب و نیرو,خطوط انتقال آب از سد سراب تلخ تا تصفیه‌خانه خرم‌آباد,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,آب و نیرو,تونل انتقال آب از سد کرج,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,آب و نیرو,تونل آب قمرود (قطعات ۲ و ۳ و ۴ و ۵),ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,آب و نیرو,شبکه اصلی آبیاری و زهکشی دوبرج,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,بنادر و اسکله‌ها,طراحی و احداث بندر پتروشیمی پارس,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,بنادر و اسکله‌ها,توسعه بندر شهید رجایی (فاز ۱),ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,بنادر و اسکله‌ها,احداث بندر خدماتی پارس,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,بنادر و اسکله‌ها,طراحی و اجرای بندر LNG,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,بنادر و اسکله‌ها,احداث بندر صادراتی ماهشهر,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,بنادر و اسکله‌ها,احداث اسکله ۱۵۰ هزار تنی (پانامکس) بندر امام خمینی,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,بنادر و اسکله‌ها,ترمیم و توسعه اسکله‌های بتنی بندر امام خمینی,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,بنادر و اسکله‌ها,فاز یک توسعه بندر تجاری کیش,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,آب و نیرو,بنادر و اسکله‌ها,ترمینال دریایی فراسکوی عسلویه,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
