حوزه,طبقه‌بندی,وضعیت پروژه,نام پروژه,توضیحات
عمران و صنعت,آب و نیرو,بنادر و اسکله‌ها,لایروبی بندر دیلم، اسکله کوثر بوشهر، بندر چارک، فازهای ۱۳، ۱۴، و ۲۰-۲۱) پارس جنوبی,ظرفیت سدهای ساخته شده ۱۴/۹۲۷ میلیارد متر مکعب؛ تونل انتقال آب ۲۲۱ کیلومتر؛ خطوط انتقال آب ۳۰۰۷ کیلومتر؛ کانال‌ها و شبکه‌های آبیاری ۶۴۵ کیلومتر
عمران و صنعت,معادن و صنایع معدنی,اکتشاف و استخراج معدن,پهنه‌های اکتنشافی کرومیت,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,اکتشاف و استخراج معدن,حفاری اکتشافی زغال‌سنگ,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,اکتشاف و استخراج معدن,حفاری اکتشافی مس,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,اکتشاف و استخراج معدن,استخراج و حمل سنگ بوکسیت,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,اکتشاف و استخراج معدن,استخراج سرب و روی,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,اکتشاف و استخراج معدن,استخراج و راهبری معدن فسفات اسفوردی,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,اکتشاف و استخراج معدن,استخراج معدن سنگ آهن,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,اکتشاف و استخراج معدن,استخراج معادن مس,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,اکتشاف و استخراج معدن,حفاری اکتشافی,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,صنایع معدنی,کارخانه فاز دو نغلیظ مس,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,صنایع معدنی,طرح توسعه پالایشگاه مس,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,صنایع معدنی,کارخانه آهن اسفنجی,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,صنایع معدنی,کارخانه آهن اسفنجی و حمل مواد فولاد,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,صنایع معدنی,کارخانه تلغیظ مس,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,معادن و صنایع معدنی,صنایع معدنی,احداث کارخانه تولید اسید فسفریک و کود تریپل,انجام مطالعات راهبردی پتانسیل‌یابی ذخایر معدنی، انجام فعالییت‌های اکتشافی در محدوده‌های کرومیت، انجام عملیات حفاریو مغزه‌گیری اکتشافی بیش از ۴۰۰ هزار متر در انواع معادن مهم؛ انجام پروژه‌های استخراج در معادن سنگ آهن؛ احداث دو کارخانه آهن اسفنجی به ظرفیت تجمعی ۱،۶۰۰،۰۰۰ تن در سال؛ احداث دو کارخانه کنستانتره مس به ظرفیت تجمعی ۲۵۰،۰۰۰ تن در سال، احداث کارخانه پالایش مس به ظرفیت ۱۰۰،۰۰۰ تن در سال، افزایش ظرفیت کارخانهفسفات اسفوردی و اجداث دو کارخانه اسید سولفوریک و کود تریپل
عمران و صنعت,بهداشت و درمان,بهداشت و درمان,-,همکاری با وزارت بهداشت برای احداث ۱۹ هزار تحت بیمارستانی
عمران و صنعت,ارتباطات و فناوری اطلاعات,ارتباطات زیرساخت,طراحی و اجرای بیش از ۲۳ هزار کیلومتر شبکه زیرساخت ارتباطی فیبر نوری,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,ارتباطات زیرساخت,طراحی، تامین، نصب و راه‌انداز، آزمایش و تحویل ۲۲۰ ایستگاه مخابراتی پر ظرفیت انتقال دیتا,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,ارتباطات زیرساخت,طراحی، تامین و اجرای بزرگ‌ترین شبکه سیگنال رسانی با استفاده از رایوهای پرظرفیت مایکروویو در ۳۲۰ ایستگاه,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,ارتباطات در بخش صنعت,مخابرات خط انتقال گاز هفتم سراسری و خط لوله انتقال گاز نفت خانه,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,ارتباطات در بخش صنعت,مخابرات و سیگنالینگ خط ۲ و ۳ مترو مشهد، خط ۷ مترو تهران، خط ۲ مترو تبریز، خط یک مترو قم,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,ارتباطات در بخش صنعت,مخابرات و سیگنالینگ راه‌آهن گرگان - اینچه‌برون، چابهار - زاهدان، یزد - اقلید، کرمانشاه، اخواز - اندیمشک، قطار برقی سریع‌السیر تهران - اصفهان,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,ارتباطات در بخش صنعت,سیستم تلکام طرح توسعه فازهای ۱۵ و ۱۶، ۱۳، ۲۲، ۲۳ و ۲۴ میدان گازی پارس جنوبی و پالایشگاه میعانات ستاره خلیج فارس، NGL۳۲۰۰،مجتمع پتروشیمی دماوند و پتروشیمی اتیلن مرکز,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,فناوری اطلاعات,مرکز کنترل ترافیک اخواز، کرمانشاه,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,فناوری اطلاعات,۵۰۰ شبکه بی‌سیم ارگان‌ها و سازمان‌ها,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,کنترل و اتوماسیون,دیسپیچینگ ملی گاز ایران,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,کنترل و اتوماسیون,خط انتقال گاز هفتم سراسری و خط لوله انتقال گاز نفت‌ خانه,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,کنترل و اتوماسیون,خط لوله آب سد کوچری به قم,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,کنترل و اتوماسیون,سیستم کنترل ابزارهای دقیق طرح توسعه فازهای ۱۵ و ۱۶، ۱۳، ۲۲، ۲۳ و ۲۴ میدان گازی پارس جنوبی و پالایشگاه میعانات ستاره خلیج فارس، NGL۳۲۰۰، مجتمع پتروشیمی دماوند و پتروشیمی اتیلن مرکز,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,در حال پیگیری,سیستم پیسپیچینگ آب تهران,-
عمران و صنعت,ارتباطات و فناوری اطلاعات,در حال پیگیری,شبکه زیرساخت ارتباطی فیبر نوری (نور ۳),-
عمران و صنعت,ارتباطات و فناوری اطلاعات,در حال پیگیری,مخابرات و خط انتقال گاز ششم,-
عمران و صنعت,سازه‌های ویژه,سازه‌های ویژه,پل طبیعت,-
عمران و صنعت,سازه‌های ویژه,سازه‌های ویژه,پل طبقاتی و تونل صدر,-
عمران و صنعت,سازه‌های ویژه,سازه‌های ویژه,ابنیه تاج دریاچه خلیج فارس,-
کشاورزی,کشاورزی,کشاورزی,"ایستگاه پمپاژ: ۲۵ باب
حفر چاه: ۶۰۲ حلقه
تجهیز چاه: ۴۴۸ حلقه
خط انتقال آب (خطوط اصلی و فرعی) : ۲۱۹۳۰۰ متر
شبکه آبیاری ثقلی: ۱۲۹۷۳ هکتار
شبکه تحت فشار: ۲۲۷۶۱ هکتار
 شبکه برق رسانی: ۳۴۲ کیلومتر
۱- اراضی شناسایی شده:  ۲۱۶۸۲۸ هکتار
۲- مطالعات اراضی: ۱۹۷۰۰۰ هکتار
۳- تسطیح اراضی: ۵۹۶۴۹ هکتار
۴- تشکیل تعاونی : ۱۰۲ فقره
۵- سطح سبز: ۳۵۷۳۴ هکتار
۷- جاده دسترسی: ۶۵۰ کیلومتر",-