The name of the monument,State,City,Number of Visitors,Percentage of total visitors to monuments
Tomb of Hafez,Fars,Shiraz,1148423,8.92
Tomb of Ferdowsi,Khorasan Razavi,Tous,958776,7.45
Tomb of Saadi,Fars,Shiraz,895607,6.96
Finn Garden,Esfahan,Kashan,846571,6.58
Persepolis,Fars,Marvdasht,696111,5.41
Tomb of Khayyam ,Khorasan Razavi,Neyshabur,523233,4.06
Ali Qapu Palace,Esfahan,Esfahan,488847,3.8
Tomb of Attar ,Khorasan Razavi,Neyshabur,442682,3.44
Taq-e Bostan,Kermanshah,Kermanshah,360205,2.8
Pasargad,Fars,Marvdasht,229548,2.56
Shazdeh Mahan ,Kerman,Kerman,296371,2.3
Mausoleum of Avicenna,Hamedan,Kerman,291851,2.27
Saint Stepanos Monastery,East Azarbaijan,Jolfa,226664,1.76
Babataher Eryan Tomb,Hamedan,Hamedan,226036,1.76
Jameh Mosque,Esfahan,Esfahan,321136,1.72
Borujerdi House,Esfahan,Esfahan,201159,1.56
Bisotun,Kermanshah,Biston,197541,1.53
Tomb of Sheikh Safi al-Din Ardabili,Ardabil,Ardabil,190102,1.48
Monar Jonban,Esfahan,Esfahan,174127,1.35
Naqsh-e Rostam,Fars,Marvdasht,167841,1.3