شرح,جمع,مرد,زن
کل کشور,3386522,1973949,1412573
آذربایجان شرقی,157025,100353,56672
آذربایجان غربی,98359,66723,31636
اردبیل,58823,38936,19887
اصفهان,294771,149371,145400
البرز ,170200,86169,84031
ایلام,31135,19546,11589
بوشهر,70948,41026,29922
تهران,495380,282922,212458
چهار محال و بختیاری,41972,26125,15847
خراسان جنوبی,29972,17825,12147
خراسان رضوی ,203115,118822,84293
خراسان شمالی,28906,17557,11349
خوزستان,217043,127856,89187
زنجان,53946,31128,22818
سمنان,39739,22135,17604
سیستان و بلوچستان ,53066,33783,19283
فارس,224258,123755,100503
قزوین,76331,39002,37329
قم,51963,32676,19287
کردستان,57678,36887,20791
کرمان,106022,61693,44329
کرمانشاه,80030,52291,27739
کهگیلویه و بویر احمد,26715,16506,10209
گلستان,63878,41131,22747
گیلان,123707,69884,53823
لرستان,64183,42439,21744
مازندران,166140,99224,66916
مرکزی,79224,44280,34944
هرمزگان,55006,37017,17989
همدان,86602,51232,35370
یزد,74933,42388,32545
کیش,5452,3267,2185