رشته ورزشی,جمع,مرد,زن,,,,,,,,,,,,,,,,,,,,,,
جمع,3386522,1973949,1412573,,,,,,,,,,,,,,,,,,,,,,
اسکیت,25972,8731,17241,,,,,,,,,,,,,,,,,,,,,,
اسکواش,2363,875,1488,,,,,,,,,,,,,,,,,,,,,,
اسکی,2315,1604,711,,,,,,,,,,,,,,,,,,,,,,
انجمن های ورزشی,21067,13803,7264,,,,,,,,,,,,,,,,,,,,,,
بد مینتون,20914,7029,13885,,,,,,,,,,,,,,,,,,,,,,
بدنسازی و پرورش اندام,340033,182829,157204,,,,,,,,,,,,,,,,,,,,,,
بسکتبال,55722,30698,25024,,,,,,,,,,,,,,,,,,,,,,
بولینگ و بیلیارد,1534,1271,263,,,,,,,,,,,,,,,,,,,,,,
بوکس,37418,37412,6,,,,,,,,,,,,,,,,,,,,,,
تنیس,6477,3447,3030,,,,,,,,,,,,,,,,,,,,,,
تنیس روی میز,16652,10687,5965,,,,,,,,,,,,,,,,,,,,,,
تکواندو,179749,93231,86518,,,,,,,,,,,,,,,,,,,,,,89
تیراندازی,8928,5026,3902,,,,,,,,,,,,,,,,,,,,,,
تیراندازی با کمان,2815,1342,1473,,,,,,,,,,,,,,,,,,,,,,
جودو,41451,29819,11632,,,,,,,,,,,,,,,,,,,,,,
چوگان,229,137,92,,,,,,,,,,,,,,,,,,,,,,
دو و میدانی,15731,8148,7583,,,,,,,,,,,,,,,,,,,,,,
دوچرخه سواری,7623,5407,2216,,,,,,,,,,,,,,,,,,,,,,
رزمی,118129,80499,37630,,,,,,,,,,,,,,,,,,,,,,
‌‌ژیمناستیک,269016,135983,133033,,,,,,,,,,,,,,,,,,,,,,
سازمان زندان ها,2453,2154,299,,,,,,,,,,,,,,,,,,,,,,
سنتی و بازی های بومی و محلی,133829,99327,34502,,,,,,,,,,,,,,,,,,,,,,
سوارکاری,8584,4548,4036,,,,,,,,,,,,,,,,,,,,,,
شطرنج,3826,2225,1601,,,,,,,,,,,,,,,,,,,,,,
شمشیر بازی,1680,865,815,,,,,,,,,,,,,,,,,,,,,,
شنا,127297,57763,69534,,,,,,,,,,,,,,,,,,,,,,
فوتبال,604122,577420,26702,,,,,,,,,,,,,,,,,,,,,,
قایقرانی,2973,1395,1578,,,,,,,,,,,,,,,,,,,,,,
گلف,1302,809,493,,,,,,,,,,,,,,,,,,,,,,
موتورسواری,5434,4884,550,,,,,,,,,,,,,,,,,,,,,,
نجات غریق,12737,6689,6048,,,,,,,,,,,,,,,,,,,,,,
هاکی,1397,743,654,,,,,,,,,,,,,,,,,,,,,,
همگانی,469843,55660,414183,,,,,,,,,,,,,,,,,,,,,,
وزنه برداری,4019,3177,842,,,,,,,,,,,,,,,,,,,,,,
ووشو,56542,37049,19493,,,,,,,,,,,,,,,,,,,,,,
کاراته,152938,80509,72429,,,,,,,,,,,,,,,,,,,,,,
کبدی,4919,2473,2446,,,,,,,,,,,,,,,,,,,,,,
کشتی,98354,97443,911,,,,,,,,,,,,,,,,,,,,,,
کونگ فو و هنرهای رزمی,58964,41180,17784,,,,,,,,,,,,,,,,,,,,,,
کوهنوردی,62792,39837,22955,,,,,,,,,,,,,,,,,,,,,,
هند بال,17717,7439,10278,,,,,,,,,,,,,,,,,,,,,,
والیبال,206779,85447,121332,,,,,,,,,,,,,,,,,,,,,,
ورزش کارگری,4760,1605,3155,,,,,,,,,,,,,,,,,,,,,,
ورزش ناشنوایان,1460,991,469,,,,,,,,,,,,,,,,,,,,,,
ورزش بیماران خاص و پیوند اعضا,2225,1053,1172,,,,,,,,,,,,,,,,,,,,,,
ورزش های باستانی و کشتی پهلوانی,11415,11415,0,,,,,,,,,,,,,,,,,,,,,,
ورزش های جانبازان و معلولین,5511,3604,1907,,,,,,,,,,,,,,,,,,,,,,
ورزش های دانش آموزی,140109,84261,55848,,,,,,,,,,,,,,,,,,,,,,
ورزش های دانشجویی,4669,2033,2636,,,,,,,,,,,,,,,,,,,,,,
ورزش های سه گانه,2150,974,1176,,,,,,,,,,,,,,,,,,,,,,
ورزش های نابینایان و کم بینایان,1584,999,585,,,,,,,,,,,,,,,,,,,,,,